exptgens	nedbarea	nmin	aar_mod	mod_nmin	ngodnt	nopt	potnmin	jordn	ngodnn	ngodn	nplac	dg25	ngtilg	rokap	dgv1059	dgv5980	bgbyg	ntilg	saamng	tkvs	saakern	partigerm	frspdag	jordinf	markgrm	antplnt	sorttkv	aks_m2	keraks	aks_vgt	srtsize	s2528	s2225	slt22	tkv	nprot	srtprot	ksort	spndx	udb	protein
x50_60	x2__375_500_	x45_60	x25	x15_30	x105_120	x135_150	x90_105	x_120	x_45	x_45	Placed	x27_5_32_5	x_45	x187_5_212_5	x51_60	x10_15	x3_5_4_0	x165_180	x170_190	x35_40	x_450	x97_98	x17_19	x_99_1_00	x97_98	x_425	x4	x950_1150	x19_21	x650_700	x0	x25_30	x5_10	x3_5	x40_42_5	x120_140	x2	x_85	x9_10	x70_80	x_9
x50_60	x2__375_500_	x45_60	x_5	x45_60	x75_90	x135_150	x0_15	x60_75	x60_75	x60_75	worked_in_solil	x_22_5	x60_75	x162_5_187_5	x51_60	x25_35	x3_5_4_0	x120_135	x130_150	x48_50	x275_325	x_80	x_15	x_99_1_00	x75_80	x225_275	x5	x650_750	x17_19	x750_850	x2	x0_5	x0_1	x3_5	x42_5_45	x80_100	x3	x90_95	x9_10	x55_60	x11_5_12_0
x50_60	x2__375_500_	x30_45	x0	x30_45	x90_105	x135_150	x90_105	x_120	x_45	x_45	Placed	x_22_5	x_45	x187_5_212_5	x41_50	x10_15	x4_0_4_5	x165_180	x230_250	x44_46	x_450	x99_100	x_15	x_99_1_00	x98__99	x_425	x4	x650_750	x17_19	x750_850	x1	x5_10	x0_1	x3_5	x40_42_5	x120_140	x3	x90_95	x9_10	x55_60	x_12_0
x30_40	x2__375_500_	x30_45	x_25	x60_75	x45_60	x_120	x15_30	x75_90	x_45	x_45	worked_in_solil	x27_5_32_5	x_45	x112_5_137_5	x61_70	x15_25	x3_5_4_0	x105_120	x210_230	x48_50	x_450	x98_99	x_15	x_98__99	x97_98	x_425	x4	x950_1150	x21_23	x600_650	x2	x10_15	x5_10	x3_5	x_35	x80_100	x4	x_85	x9_10	x65_70	x9_5_10_0
x30_40	x3___500_	x15_30	x25	x0_15	x105_120	x135_150	x_105	x105_120	x_45	x_45	worked_in_solil	x_22_5	x_45	x162_5_187_5	x_70	x25_35	x3_5_4_0	x135_150	x90_110	x50_55	x175_225	x80_85	x21_23	x_98__99	x80_85	x_175	x5	x_1150	x17_19	x550_600	x2	x20_25	x5_10	x3_5	x35_40	x100_120	x6	x_85	x9_10	x70_80	x10_0_10_5
x40_50	x3___500_	x15_30	x0	x15_30	x90_105	x135_150	x30_45	x45_60	x90_105	x90_105	Top_dressed	x_22_5	x60_75	x162_5_187_5	x61_70	x15_25	x3_5_4_0	x120_135	x70_90	x55_60	x_175	x98_99	x_15	x_98__99	x97_98	x_175	x5	x650_750	x17_19	x850_950	x2	x0_5	x0_1	x2_3	x40_42_5	x60_80	x2	x95_98	x9_10	x60_65	x9_5_10_0
x40_50	x1___375_	x15_30	x_25	x45_60	x60_75	x135_150	x45_60	x90_105	x_45	x_45	worked_in_solil	x37_5_47_5	x_45	x112_5_137_5	x_25	x0_5	x4_0_4_5	x120_135	x70_90	x30_35	x225_275	x95_97	x17_19	x_99_1_00	x95_97	x225_275	x3	x350_450	x13_15	x850_950	x0	x0_5	x0_1	x0_1	x42_5_45	x100_120	x2	x_98	x9_10	x30_40	x_12_0
x40_50	x3___500_	x15_30	x_15	x30_45	x75_90	x120_135	x30_45	x60_75	x60_75	x60_75	worked_in_solil	x_22_5	x45_60	x162_5_187_5	x51_60	x_35	x_3_0	x120_135	x110_130	x30_35	x325_375	x99_100	x_15	x_99_1_00	x99_100	x325_375	x7	x650_750	x21_23	x750_850	x_1	x25_30	x5_10	x3_5	x42_5_45	x80_100	x3	x_85	x9_10	x55_60	x11_0_11_5
x30_40	x1___375_	x0_15	x_25	x30_45	x75_90	x120_135	x15_30	x45_60	x75_90	x75_90	Top_dressed	x27_5_32_5	x_45	x112_5_137_5	x51_60	x25_35	x3_5_4_0	x75_90	x170_190	x30_35	x_450	x97_98	x_15	x_99_1_00	x97_98	x_425	x6	x450_550	x19_21	x650_700	x2	x20_25	x5_10	x3_5	x42_5_45	x60_80	x3	x_85	x9_10	x30_40	x_12_0
x50_60	x1___375_	x45_60	x_20	x60_75	x60_75	x135_150	x0_15	x75_90	x45_60	x45_60	Placed	x11_5_27_5	x45_60	x187_5_212_5	x51_60	x10_15	x4_5_5_0	x120_135	x50_70	x40_42	x_175	x93_95	x17_19	x_98__99	x90_93	x_175	x5	x650_750	x17_19	x700_750	x1	x10_15	x1_5	x3_5	x40_42_5	x80_100	x2	x_85	x9_10	x50_55	x_12_0
