X1	R	Z	X2	X3	S	Y
a	a	a	a	a	a	a
a	a	a	a	a	a	a
a	a	a	a	b	b	b
a	a	a	a	a	a	a
a	a	a	a	a	a	a
a	a	a	a	a	a	a
b	b	a	b	b	b	b
b	b	b	b	a	a	a
a	a	a	a	a	a	a
a	a	a	a	b	b	b
a	a	a	a	a	a	a
a	a	a	a	a	a	a
b	b	b	b	b	b	b
b	b	b	b	a	a	a
b	b	a	b	b	b	b
a	a	a	a	a	a	a
b	b	b	b	a	a	a
a	a	a	a	a	a	a
b	b	a	b	a	a	a
a	a	a	a	a	a	a
a	a	a	a	b	b	b
a	a	a	a	b	b	b
b	b	b	b	b	b	b
a	a	a	a	b	b	b
a	a	a	a	a	a	a
a	a	a	a	b	b	b
a	a	a	a	b	b	b
a	a	a	a	b	b	b
b	b	a	b	b	b	b
b	b	b	b	a	a	a
b	b	a	b	b	b	b
a	a	a	a	a	a	a
a	a	a	a	a	a	a
a	a	a	a	a	a	a
a	a	a	a	b	b	b
a	a	a	a	a	a	a
a	a	a	a	a	a	a
b	b	a	b	a	a	a
a	a	a	a	b	b	b
a	a	a	a	a	a	a
a	a	a	a	a	a	a
b	b	a	b	a	a	a
b	b	a	a	b	b	a
a	a	a	a	a	a	a
a	a	a	a	b	b	b
b	b	a	b	a	a	a
a	a	a	a	b	b	b
a	a	a	a	a	a	a
a	a	a	a	a	a	a
b	b	a	b	a	a	a
a	a	a	a	b	b	b
a	a	a	a	b	b	b
b	b	a	b	b	b	b
a	a	a	a	a	a	a
a	a	a	a	a	a	a
b	b	a	b	a	a	a
a	a	a	a	a	a	a
a	a	a	a	a	a	a
a	a	a	a	a	a	a
a	a	a	a	b	b	b
b	b	a	b	b	b	b
a	a	a	a	a	a	a
a	a	a	a	a	a	a
b	b	a	b	b	b	b
b	b	b	b	b	b	b
a	a	a	a	a	a	a
b	b	a	b	b	b	b
b	b	a	b	a	a	a
a	a	a	a	a	a	a
a	a	a	a	b	b	b
a	a	b	a	b	b	b
a	a	a	a	b	b	b
a	a	a	a	a	a	a
a	a	a	a	a	a	a
a	a	a	a	a	a	a
a	a	a	a	a	a	a
a	a	a	a	a	a	a
b	b	a	b	a	a	a
a	a	a	a	b	b	b
a	a	a	a	a	a	a
a	a	a	a	b	b	b
a	a	a	a	a	a	a
a	a	a	a	a	a	a
a	a	a	a	b	b	b
a	a	a	a	a	a	a
b	b	b	b	b	b	b
a	a	a	a	a	a	a
a	a	a	a	a	a	a
a	a	a	a	a	a	a
b	b	b	b	a	a	a
a	a	a	a	a	a	a
b	b	a	b	a	a	a
b	b	a	b	b	b	b
a	a	b	a	a	a	a
a	a	a	a	a	a	a
a	a	b	a	b	b	b
a	a	a	a	a	a	a
b	b	a	b	b	b	b
b	b	a	b	b	b	b
a	a	a	a	b	b	b
a	a	a	a	b	b	b
a	a	a	a	a	a	a
a	a	a	a	b	b	b
a	a	a	a	a	a	a
a	a	a	a	a	a	a
a	a	a	a	a	a	a
b	b	a	b	b	b	b
a	a	a	a	a	a	a
a	a	a	a	b	b	b
a	a	a	a	a	a	a
b	b	b	b	a	a	a
b	b	b	b	a	a	a
a	a	a	a	a	a	a
a	a	a	a	b	b	b
a	a	a	a	a	a	a
a	a	a	a	a	a	a
a	a	a	a	a	a	a
b	b	b	b	a	a	a
b	b	a	b	a	a	a
b	b	a	b	a	a	a
a	a	a	a	a	a	a
b	b	a	b	b	b	b
b	b	a	b	b	b	b
a	a	a	a	a	a	a
a	a	a	a	a	a	a
a	a	a	a	b	b	b
a	a	a	a	b	b	b
b	b	b	b	b	b	b
b	b	b	b	b	b	b
a	a	b	a	a	a	a
a	a	a	a	a	a	a
a	a	a	a	b	b	b
